Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
02976,AURORA 400 EC (CARFENTRAZONE-ETHYL),6,669.63,4,021-A-001
03002,PRIORI XTRA (AZOXYSTROBIN + CIPROCONAZOL),6,1732.2,4,018-A-001
03003,OPERA (EPOXICONAZOL + PIRACLOSTROBINA),6,917.9045,4,026-A-001
03014,CLASSIC (CLORIMUROM-ETILICO),3,53.986,4,026-A-001
03021,SULFATO ZINCO,3,2400,4,018-A-001
03026,ACUCAR AGRICOLA-KG,3,11,4,5528
03030,PROTAC,3,2390,4,025-A-001
03064,MOLIBSOL,3,1000,4,021-A-001
03068,FLEX (FOMESAFEN),6,136.5,4,024-A-001
03261,UREIA AGRICOLA,3,1107,4,021-A-001
03491,NITRATO POTASSIO,3,2.9,4,797
03510,ENGEO PLENO (THIAMETHOXAM + LAMBDA-CIALOTRINA),6,2000,4,007-H-002
03568,SELECT 240 EC (CLETODIM),6,20791.88,4,012-A-001
03615,TRIFLURALINA NORTOX GOLD (TRIFLURALIN),6,14314.3,4,019-A-001
03757,DUAL GOLD 960 EC (METOLACLORO),6,7767.186,4,008-A-001
03785,TALSTAR 100 EC (BIFENTRINA),6,2252.5957,4,018-A-001
04430,RADIANT 100 (FLUMICLORAC-PENTYL),6,2151.8,4,026-A-001
04750,GAMIT (CLOMAZONA),6,4409.306,4,017-A-001
04754,VOLCANE (MSMA),6,1000,4,024-A-001
05098,ZAPHIR 106 SL (IMAZETAPIR),6,40244.396,4,006-A-001
05105,TIGER 100 EC (PIRIPROXIFEM),6,15.3,4,026-A-001
05156,AUREO F EC 720,6,10210.162,4,005-A-001
05227,BASAGRAN 600 (BENTAZONE),6,466.4,4,021-A-001
05322,BORAL 500 (SULFENTRAZONE),6,713.066,4,018-A-001
10968,BELT SC480 (FLUBENDIAMIDA),6,0.007,4,5547
11394,NOMOLT (TEFLUBENZUROM),6,20.96,4,026-A-001
12618,PREMIO 20 SC (CLORANTRANILIPROLE),6,982.25,4,024-A-001
13140,ZAPP Q I 620 (GLIFOSATO SAL POTASSIO),6,2.496,4,1471
13401,CALLISTO (MESOTRIONE),6,737.1509,4,026-A-001
16364,INTREPID 240 SC (METHOXYFENOZIDE),6,120.8,4,026-A-001
18140,CERTEZA SC (THIOPHANATE METHYL+FLUAZINAM),6,5,4,5528
22189,SULFATO NI A,3,1750,4,Vazio
22336,FOX SC325 (PROTIOCONAZOL + TRIFLOXISTROBINA),6,7859.5461,4,024-A-001
23956,CLORPIRIFOS SABERO 480EC (CLORPIRIFOS),6,6623.6,4,022-A-001
29232,FIPRONIL 800WG (FIPRONIL),3,660,4,025-A-001
29466,SOBERAN SC630 (TEMBOTRIONA),6,41.458,4,026-A-001
29659,GLADIUM (ETOXISSULFUROM),3,71.2068,4,026-A-001
34042,GALIL SC (IMIDACLOPRIDO + BIFENTHRIN),6,7880.05,4,026-A-001
34228,GAME (LUFENURON),6,38.88,4,026-A-001
34518,PIRATE (CHLORFENAPYR),6,31.19,4,025-A-001
35091,PROFIT (CARFENTRAZONE-ETHYL   CLOMAZONE),6,10,4,026-A-001
35504,KELLUS COPPER,3,1446,4,011-A-001
37474,UNIZEB GOLD (MANCOZEBE),3,34107.9951,4,024-A-001
39748,ENERGIZE AD,3,556.04,4,921
39759,ROUNDUP ORIGINAL (GLIFOSATO SAL ISOPROPILAMINA),6,31.453,4,020-A-001
40347,AVATAR DUPONT (INDOXACARB),6,857.6,4,005-A-001
40556,FASTAC DUO (ACETAMIPRIDO + ALFA-CIPERMETRINA),6,500,4,024-A-001
45208,KELLUS INOX,3,15,4,5528
45522,COBRE POWER,3,1,4,797
51414,PREVINIL 720 SC (CLOROTALONIL),6,61223.1588,4,026-A-001
55822,JOINT OIL,6,219.8616,4,003-A-001
56492,PROCLAIM (EMAMECTINA),3,639.555,4,024-A-001
56621,CUSTOM FERTILIZANTE FOLIAR,3,95.27,4,937
56709,HELPER DESSEK,6,2273.9925,4,022-A-001
56818,HELPER NEUTRUM,6,248.2,4,026-A-001
57079,SPERTO (ACETAMIPRIDO),3,2017.3,4,026-A-001
57576,QUELATO COBRE EDTA,3,338.8,4,1070
58253,PERITO 970 SG (ACEFATO),3,1960.0085,4,022-A-001
63360,HELPER AIR,6,1504.995,4,024-A-001
63362,SULFATO MAGNESIO HEPTA,3,1325,4,018-A-001
66829,DIFLUMAX (BENZOILUREIA),6,0.96,4,5528
67698,FUSAO EC (METOMINOSTROBIN + TEBUCONAZOL),6,30204.1775,4,009-A-001
67702,VERSATILIS (FENPROPIMORFE),6,682.4,4,025-A-001
67783,FOX XPRO (PROTIOCONAZOL + TRIAZOLINTHIONE),6,7735.25,4,025-A-001
68340,CRONNOS (PICOXISTROBINA. TEBUCONAZOL. MANCOZEBE),6,24.75,4,025-A-001
68422,VERDICT MAX (HALOXIFOPE-P-METILICO),6,309.402,4,021-A-001
69263,ZAPP PRO (GLIFOSATO SAL POTASSIO),6,10,4,026-A-001
69409,FLUMYZIN 500 SC (FLUMIOXAZINA),6,112.0165,4,6063
70510,CURBIX 200 SC BAYER SC200,6,5054.02,4,023-A-001
71075,TEBUCO 430 SC (TEBUCONAZOL),6,15238.683,4,020-A-001
71747,WILD (CLORPIRIFOS),6,0.5,4,026-A-001
71748,ULTIMATO SC (ATRAZINA),6,12.996,4,026-A-001
71749,EXEMPLO (2.4-D - DIMETILAMINA),6,0.059,4,024-A-001
73634,BLINDADO (FLUENSULFONA),6,17720,4,Vazio
73636,DISCO AG BLUE D1173,3,31,4,026-A-001
73925,RECONIL (OXICLORETO DE COBRE),3,2759.5,4,023-A-001
73927,PORCEL 100 EC (PIRIPROXIFEM),6,187.6,4,019-A-001
74268,FERTILIZANTE PROFOL BORO,6,15816,4,001-A-001
74276,AUMENAX (FLUXAPIROXADE),6,1036,4,025-A-001
75061,VERANGO PRIME (FLUOPIRAM),6,200,4,023-A-001
75127,HERBITRIN 500 BR (ATRAZINA),6,17147.7,4,008-A-001
75130,ATUMUS TANDER GOLD,6,2150.261,4,026-A-001
75534,FERTILIZANTE FERT PREMIUN,6,196,4,026-A-001
75536,FERTILIZANTE HIBANA,3,30.82,4,026-A-001
